lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0,3.786,0,-3.936,-0.015,-0.419,0.054,-0.019,1.126,
0,0,3.924,0,-3.366,0.003,-0.419,-1.278,-0.008,1.152,
0,0,3.36,0,-1.98,0.071,-0.43,-1.182,-0.036,1.085,
0,0,2.082,0,0,-0.077,-0.43,-1.148,-0.019,-0.116,
0,0,0.156,0,1.974,-0.006,-0.419,0.152,-0.036,0.083,
0,0,-1.758,0,3.252,0.031,-0.43,-0.214,-0.008,-0.062,
0,0,-3.228,0,3.9,0.034,-0.43,-0.453,0.048,0.001,
0,0,-3.942,0,3.906,-0.046,-0.408,1.124,-0.002,-1.263,
0,0,-3.69,0,2.94,-0.029,-0.419,1.19,0.026,-1.236,
0,0,-2.682,0,1.332,-0.077,-0.441,0.012,0.009,0.042,
0,0,2.838,0,-3.666,0.079,-0.43,0.126,-0.019,0,
0,0,3.726,0,-3.93,-0.029,-0.43,0.274,-0.002,1.079,
0,0,3.9,0,-3.666,0.048,-0.43,-1.36,-0.008,1.056,
0,0,3.498,0,-2.676,-0.006,-0.419,-1.213,-0.008,0.957,
0,0,2.46,0,-1.308,0.017,-0.43,0.089,0.014,0.075,
0,0,1.128,0,-0.39,-0.049,-0.43,0.025,0.003,0.119,
0,0,0.33,0,-0.036,-0.06,-0.419,0.139,-0.036,0.62,
0,0,0.03,0,-0.03,-0.029,-0.43,-0.729,0.009,0.393,
0,0,0.024,0,-0.03,0.107,-0.419,-0.371,-0.002,0.463,
0,0,0.018,0,-0.03,0.102,-0.419,-0.44,-0.014,0.45,
0,0,0.018,0,-0.024,-0.046,-0.419,-0.489,0.009,0.455,
0,0,0.018,0,-0.024,-0.02,-0.419,-0.538,0.014,0.47,
0,0,0.012,0,-0.018,-0.046,-0.419,-0.489,-0.014,0.528,
0,0,0.012,0,-0.018,-0.015,-0.419,-0.537,0.02,0.534,
