count, lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
300,6.011,0,0,-0.009,-0.006,1.036,-0.007,0.339,0.006,0.057,
301,6.011,0,0,-0.009,-0.006,1.036,0.004,0.373,0.006,0.057,
302,6.011,0,0,-0.009,-0.006,1.036,0.004,0.373,0.006,0.052,
303,6.166,0,0,-0.009,-0.006,1.036,0.004,0.373,0.006,0.052,
304,6.166,0,0,-0.009,-0.006,1.143,-0.018,0.373,0.006,0.052,
305,6.166,0,0,-0.009,-0.006,1.143,-0.018,0.384,0.023,0.069,
306,6.166,0,0,-0.009,-0.006,1.143,-0.018,0.384,0.023,0.069,
307,6.342,0,0,-0.009,-0.006,1.143,-0.018,0.384,0.023,0.069,
308,6.342,0,0,-0.009,-0.006,1.143,-0.018,0.384,0.023,0.069,
309,6.342,0,0,-0.009,-0.006,1.161,-0.007,0.384,0.023,0.069,
310,6.342,0,0,-0.009,-0.006,1.161,-0.007,0.384,0.051,0.052,
311,6.487,0,0,-0.009,-0.006,1.161,-0.007,0.384,0.051,0.052,
312,6.487,0,0,-0.009,-0.006,1.042,-0.007,0.384,0.051,0.052,
313,6.487,0,0,-0.009,-0.006,1.042,-0.007,0.418,-0.022,0.074,
314,6.487,0,0,-0.009,-0.006,1.042,-0.007,0.418,-0.022,0.074,
315,6.641,0,0,-0.009,-0.006,1.042,-0.007,0.418,-0.022,0.074,
