count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
354,0,0,0,0,0,-0.863,0,0,0,0,
355,0,0,0,0,0,-0.863,0,0,0,0,
356,0,0,0,0,0,-0.784,0,0,0,0,
357,0,0,0,0,0,-0.784,0,0,0,0,
358,0.02,0,0,0,0,-0.753,0,0,0,0,
359,0.02,0,0,0,0,-0.753,0,0,0,0,
360,0.03,0,0,0,0,-0.681,0,0,0,0,
361,0.03,0,0,0,0,-0.681,0,0,0,0,
362,0.06,0,0,0,0,-0.681,0,0,0,0,
363,0.06,0,0,0,0,-0.795,0,0,0,0,
364,0.06,0,0,0,0,-0.795,0,0,0,0,
365,0.08,0,0,0,0,-0.826,0,0,0,0,
366,0.08,0,0,0,0,-0.826,0,0,0,0,
367,0.11,0,0,0,0,-0.866,0,0,0,0,
368,0.11,0,0,0,0,-0.866,0,0,0,0,
369,0.14,0,0,0,0,-0.792,0,0,0,0,
370,0.14,0,0,0,0,-0.792,0,0,0,0,
371,0.14,0,0,0,0,-0.792,0,0,0,0,
372,0.18,0,0,0,0,-0.771,0,0,0,0,
373,0.18,0,0,0,0,-0.771,0,0,0,0,
374,0.22,0,0,0,0,-0.697,0,0,0,0,
375,0.22,0,0,0,0,-0.697,0,0,0,0,
376,0.26,0,0,0,0,-0.841,0,0,0,0,
377,0.26,0,0,0,0,-0.841,0,0,0,0,
378,0.31,0,0,0,0,-0.841,0,0,0,0,
379,0.31,0,0,0,0,-0.702,0,0,0,0,
380,0.31,0,0,0,0,-0.702,0,0,0,0,
381,0.36,0,0,0,0,-0.824,0,0,0,0,
382,0.36,0,0,0,0,-0.824,0,0,0,0,
383,0.41,0,0,0,0,-0.71,0,0,0,0,
384,0.41,0,0,0,0,-0.71,0,0,0,0,
385,0.47,0,0,0,0,-0.71,0,0,0,0,
386,0.47,0,0,0,0,-0.806,0,0,0,0,
387,0.47,0,0,0,0,-0.806,0,0,0,0,
388,0.54,0,0,0,0,-0.859,0,0,0,0,
389,0.54,0,0,0,0,-0.859,0,0,0,0,
390,0.6,0,0,0,0,-0.868,0,0,0,0,
391,0.6,0,0,0,0,-0.868,0,0,0,0,
392,0.67,0,0,0,0,-0.868,0,0,0,0,
393,0.67,0,0,0,0,-0.91,0,0,0,0,
394,0.67,0,0,0,0,-0.91,0,0,0,0,
395,0.74,0,0,0,0,-0.893,0,0,0,0,
396,0.74,0,0,0,0,-0.893,0,0,0,0,
397,0.82,0,0,0,0,-0.886,0,0,0,0,
398,0.82,0,0,0,0,-0.886,0,0,0,0,
399,0.9,0,0,0,0,-0.886,0,0,0,0,
400,0.9,0,0,0,0,-0.836,0,0,0,0,
401,0.9,0,0,0,0,-0.836,0,0,0,0,
402,0.99,0,0,0,0,-0.945,0,0,0,0,
403,0.99,0,0,0,0,-0.945,0,0,0,0,
404,1.07,0,0,0,0,-0.961,0,0,0,0,
405,1.07,0,0,0,0,-0.961,0,0,0,0,
406,1.16,0,0,0,0,-0.961,0,0,0,0,
407,1.16,0,0,0,0,-1.003,0,0,0,0,
408,1.16,0,0,0,0,-1.003,0,0,0,0,
409,1.27,0,0,0,0,-1.055,0,0,0,0,
410,1.27,0,0,0,0,-1.055,0,0,0,0,
411,1.37,0,0,0,0,-1.317,0,0,0,0,
412,1.37,0,0,0,0,-1.317,0,0,0,0,
413,1.37,0,0,0,0,-1.317,0,0,0,0,
414,1.47,0,0,0,0,-1.023,0,0,0,0,
415,1.47,0,0,0,0,-1.023,0,0,0,0,
416,1.58,0,0,0,0,-0.968,0,0,0,0,
417,1.58,0,0,0,0,-0.968,0,0,0,0,
418,1.69,0,0,0,0,-0.998,0,0,0,0,
419,1.69,0,0,0,0,-0.998,0,0,0,0,
420,1.81,0,0,0,0,-0.998,0,0,0,0,
421,1.81,0,0,0,0,-1.111,0,0,0,0,
422,1.81,0,0,0,0,-1.111,0,0,0,0,
423,1.92,0,0,0,0,-1.104,0,0,0,0,
424,1.92,0,0,0,0,-1.104,0,0,0,0,
425,2.04,0,0,0,0,-0.944,0,0,0,0,
426,2.04,0,0,0,0,-0.944,0,0,0,0,
427,2.17,0,0,0,0,-0.944,0,0,0,0,
428,2.17,0,0,0,0,-1.18,0,0,0,0,
429,2.17,0,0,0,0,-1.18,0,0,0,0,
430,2.3,0,0,0,0,-0.963,0,0,0,0,
431,2.3,0,0,0,0,-0.963,0,0,0,0,
432,2.43,0,0,0,0,-1.085,0,0,0,0,
433,2.43,0,0,0,0,-1.085,0,0,0,0,
434,2.56,0,0,0,0,-1.116,0,0,0,0,
435,2.56,0,0,0,0,-1.116,0,0,0,0,
436,2.7,0,0,0,0,-1.116,0,0,0,0,
437,2.7,0,0,0,0,-0.983,0,0,0,0,
438,2.7,0,0,0,0,-0.983,0,0,0,0,
439,2.85,0,0,0,0,-0.535,0,0,0,0,
440,2.85,0,0,0,0,-0.535,0,0,0,0,
441,2.99,0,0,0,0,-0.408,0,0,0,0,
442,2.99,0,0,0,0,-0.408,0,0,0,0,
443,3.13,0,0,0,0,-0.408,0,0,0,0,
444,3.13,0,0,0,0,-0.345,0,0,0,0,
445,3.13,0,0,0,0,-0.345,0,0,0,0,
446,3.28,0,0,0,0,-0.657,0,0,0,0,
447,3.28,0,0,0,0,-0.657,0,0,0,0,
448,3.43,0,0,0,0,-0.694,0,0,0,0,
449,3.43,0,0,0,0,-0.694,0,0,0,0,
450,3.57,0,0,0,0,-0.716,0,0,0,0,
451,3.57,0,0,0,0,-0.716,0,0,0,0,
452,3.57,0,0,0,0,-0.716,0,0,0,0,
453,3.72,0,0,0,0,-0.443,0,0,0,0,
454,3.72,0,0,0,0,-0.443,0,0,0,0,
455,3.87,0,0,0,0,-0.685,0,0,0,0,
456,3.87,0,0,0,0,-0.685,0,0,0,0,
457,4.02,0,0,0,0,-0.766,0,0,0,0,
458,4.02,0,0,0,0,-0.766,0,0,0,0,
459,4.02,0,0,0,0,-0.766,0,0,0,0,
460,4.17,0,0,0,0,-0.365,0,0,0,0,
461,4.17,0,0,0,0,-0.365,0,0,0,0,
462,4.31,0,0,0,0,-0.253,0,0,0,0,
463,4.31,0,0,0,0,-0.253,0,0,0,0,
464,4.31,0,0,0,0,-0.253,0,0,0,0,
465,4.46,0,0,0,0,-1.034,0,0,0,0,
466,4.46,0,0,0,0,-1.034,0,0,0,0,
467,4.6,0,0,0,0,-0.81,0,0,0,0,
468,4.6,0,0,0,0,-0.81,0,0,0,0,
469,4.75,0,0,0,0,-0.678,0,0,0,0,
470,4.75,0,0,0,0,-0.678,0,0,0,0,
471,4.9,0,0,0,0,-0.678,0,0,0,0,
472,4.9,0,0,0,0,-0.432,0,0,0,0,
473,4.9,0,0,0,0,-0.432,0,0,0,0,
474,5.04,0,0,0,0,-0.38,0,0,0,0,
475,5.04,0,0,0,0,-0.38,0,0,0,0,
476,5.18,0,0,0,0,-0.329,0,0,0,0,
477,5.18,0,0,0,0,-0.329,0,0,0,0,
478,5.18,0,0,0,0,-0.329,0,0,0,0,
479,5.34,0,0,0,0,-0.82,0,0,0,0,
480,5.34,0,0,0,0,-0.82,0,0,0,0,
481,5.48,0,0,0,0,-0.804,0,0,0,0,
482,5.48,0,0,0,0,-0.804,0,0,0,0,
483,5.63,0,0,0,0,-0.567,0,0,0,0,
484,5.63,0,0,0,0,-0.567,0,0,0,0,
485,5.77,0,0,0,0,-0.567,0,0,0,0,
486,5.77,0,0,0,0,-0.595,0,0,0,0,
487,5.77,0,0,0,0,-0.595,0,0,0,0,
488,5.92,0,0,0,0,-0.477,0,0,0,0,
489,5.92,0,0,0,0,-0.477,0,0,0,0,
490,6.07,0,0,0,0,-0.648,0,0,0,0,
491,6.07,0,0,0,0,-0.648,0,0,0,0,
492,6.21,0,0,0,0,-0.648,0,0,0,0,
493,6.21,0,0,0,0,-0.791,0,0,0,0,
