count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
2.61,0.66,0,0,0,0,-0.055,0,0,0,0
2.62,0.61,0,0,0,0,-0.103,0,0,0,0
2.63,0.61,0,0,0,0,-0.103,0,0,0,0
2.64,0.57,0,0,0,0,-0.06,0,0,0,0
2.65,0.57,0,0,0,0,-0.06,0,0,0,0
2.66,0.52,0,0,0,0,-0.028,0,0,0,0
2.67,0.52,0,0,0,0,-0.028,0,0,0,0
2.68,0.48,0,0,0,0,-0.028,0,0,0,0
2.69,0.48,0,0,0,0,-0.048,0,0,0,0
2.7,0.48,0,0,0,0,-0.048,0,0,0,0
2.71,0.44,0,0,0,0,-0.135,0,0,0,0
2.72,0.44,0,0,0,0,-0.135,0,0,0,0
2.73,0.4,0,0,0,0,-0.055,0,0,0,0
2.74,0.4,0,0,0,0,-0.055,0,0,0,0
2.75,0.36,0,0,0,0,-0.147,0,0,0,0
2.76,0.36,0,0,0,0,-0.147,0,0,0,0
2.77,0.36,0,0,0,0,-0.147,0,0,0,0
2.78,0.33,0,0,0,0,0.017,0,0,0,0
2.79,0.33,0,0,0,0,0.017,0,0,0,0
2.8,0.29,0,0,0,0,-0.039,0,0,0,0
2.81,0.29,0,0,0,0,-0.039,0,0,0,0
2.82,0.26,0,0,0,0,-0.077,0,0,0,0
2.83,0.26,0,0,0,0,-0.077,0,0,0,0
2.84,0.23,0,0,0,0,-0.077,0,0,0,0
2.85,0.23,0,0,0,0,-0.087,0,0,0,0
2.86,0.23,0,0,0,0,-0.087,0,0,0,0
2.87,0.2,0,0,0,0,-0.003,0,0,0,0
2.88,0.2,0,0,0,0,-0.003,0,0,0,0
2.89,0.17,0,0,0,0,-0.207,0,0,0,0
2.9,0.17,0,0,0,0,-0.207,0,0,0,0
2.91,0.15,0,0,0,0,-0.207,0,0,0,0
2.92,0.15,0,0,0,0,-0.178,0,0,0,0
2.93,0.15,0,0,0,0,-0.178,0,0,0,0
2.94,0.13,0,0,0,0,-0.083,0,0,0,0
2.95,0.13,0,0,0,0,-0.083,0,0,0,0
2.96,0.11,0,0,0,0,-0.125,0,0,0,0
2.97,0.11,0,0,0,0,-0.125,0,0,0,0
2.98,0.09,0,0,0,0,-0.098,0,0,0,0
2.99,0.09,0,0,0,0,-0.098,0,0,0,0
3,0.07,0,0,0,0,-0.098,0,0,0,0
3.01,0.07,0,0,0,0,-0.119,0,0,0,0
3.02,0.07,0,0,0,0,-0.119,0,0,0,0
3.03,0.06,0,0,0,0,-0.135,0,0,0,0
3.04,0.06,0,0,0,0,-0.135,0,0,0,0
3.05,0.04,0,0,0,0,-0.06,0,0,0,0
3.06,0.04,0,0,0,0,-0.06,0,0,0,0
3.07,0.03,0,0,0,0,-0.133,0,0,0,0
3.08,0.03,0,0,0,0,-0.133,0,0,0,0
3.09,0.03,0,0,0,0,-0.133,0,0,0,0
3.1,0.02,0,0,0,0,-0.064,0,0,0,0
3.11,0.02,0,0,0,0,-0.064,0,0,0,0
3.12,0.01,0,0,0,0,0.025,0,0,0,0
3.13,0.01,0,0,0,0,0.025,0,0,0,0
3.14,0,0,0,0,0,0.025,0,0,0,0
3.15,0,0,0,0,0,-0.161,0,0,0,0
3.16,0,0,0,0,0,-0.161,0,0,0,0
3.17,0,0,0,0,0,-0.176,0,0,0,0
3.18,0,0,0,0,0,-0.176,0,0,0,0
3.19,0,0,0,0,0,-0.176,0,0,0,0
3.2,0,0,0,0,0,-2.665,0,0,0,0
3.21,0,0,0,0,0,-2.665,0,0,0,0
3.22,0,0,0,0,0,-2.665,0,0,0,0
3.23,0,0,0,0,0,-2.865,0,0,0,0
