count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
3.79,3.09,0,0,0,0,0.086,0,0,0,0,
3.8,3.09,0,0,0,0,0.095,0,0,0,0,
3.81,3.09,0,0,0,0,0.095,0,0,0,0,
3.82,3.09,0,0,0,0,0.365,0,0,0,0,
3.83,3.09,0,0,0,0,0.365,0,0,0,0,
3.84,3.09,0,0,0,0,0.365,0,0,0,0,
3.85,3.09,0,0,0,0,0.447,0,0,0,0,
3.86,3.09,0,0,0,0,0.447,0,0,0,0,
3.87,3.08,0,0,0,0,0.588,0,0,0,0,
3.88,3.08,0,0,0,0,0.588,0,0,0,0,
3.89,3.08,0,0,0,0,0.576,0,0,0,0,
3.9,3.08,0,0,0,0,0.576,0,0,0,0,
3.91,3.07,0,0,0,0,0.576,0,0,0,0,
3.92,3.07,0,0,0,0,0.528,0,0,0,0,
3.93,3.07,0,0,0,0,0.528,0,0,0,0,
3.94,3.06,0,0,0,0,0.568,0,0,0,0,
3.95,3.06,0,0,0,0,0.568,0,0,0,0,
3.96,3.05,0,0,0,0,0.556,0,0,0,0,
3.97,3.05,0,0,0,0,0.556,0,0,0,0,
3.98,3.03,0,0,0,0,0.556,0,0,0,0,
3.99,3.03,0,0,0,0,0.543,0,0,0,0,
4,3.03,0,0,0,0,0.543,0,0,0,0,
4.01,3.02,0,0,0,0,0.491,0,0,0,0,
4.02,3.02,0,0,0,0,0.491,0,0,0,0,
4.03,3,0,0,0,0,0.59,0,0,0,0,
4.04,3,0,0,0,0,0.59,0,0,0,0,
4.05,2.98,0,0,0,0,0.59,0,0,0,0,
4.06,2.98,0,0,0,0,0.454,0,0,0,0,
4.07,2.98,0,0,0,0,0.454,0,0,0,0,
4.08,2.95,0,0,0,0,0.517,0,0,0,0,
4.09,2.95,0,0,0,0,0.517,0,0,0,0,
4.1,2.93,0,0,0,0,0.545,0,0,0,0,
4.11,2.93,0,0,0,0,0.545,0,0,0,0,
4.12,2.9,0,0,0,0,0.544,0,0,0,0,
4.13,2.9,0,0,0,0,0.544,0,0,0,0,
4.14,2.9,0,0,0,0,0.544,0,0,0,0,
4.15,2.88,0,0,0,0,0.6,0,0,0,0,
4.16,2.88,0,0,0,0,0.6,0,0,0,0,
4.17,2.85,0,0,0,0,0.511,0,0,0,0,
4.18,2.85,0,0,0,0,0.511,0,0,0,0,
4.19,2.82,0,0,0,0,0.577,0,0,0,0,
4.2,2.82,0,0,0,0,0.577,0,0,0,0,
4.21,2.82,0,0,0,0,0.577,0,0,0,0,
4.22,2.78,0,0,0,0,0.575,0,0,0,0,
4.23,2.78,0,0,0,0,0.575,0,0,0,0,
4.24,2.74,0,0,0,0,0.58,0,0,0,0,
4.25,2.74,0,0,0,0,0.58,0,0,0,0,
4.26,2.71,0,0,0,0,0.58,0,0,0,0,
4.27,2.71,0,0,0,0,0.565,0,0,0,0,
4.28,2.71,0,0,0,0,0.565,0,0,0,0,
4.29,2.66,0,0,0,0,0.564,0,0,0,0,
4.3,2.66,0,0,0,0,0.564,0,0,0,0,
4.31,2.62,0,0,0,0,0.552,0,0,0,0,
4.32,2.62,0,0,0,0,0.552,0,0,0,0,
4.33,2.62,0,0,0,0,0.552,0,0,0,0,
4.34,2.58,0,0,0,0,0.584,0,0,0,0,
4.35,2.58,0,0,0,0,0.584,0,0,0,0,
4.36,2.53,0,0,0,0,0.596,0,0,0,0,
4.37,2.53,0,0,0,0,0.596,0,0,0,0,
4.38,2.48,0,0,0,0,0.58,0,0,0,0,
4.39,2.48,0,0,0,0,0.58,0,0,0,0,
4.4,2.43,0,0,0,0,0.58,0,0,0,0,
4.41,2.43,0,0,0,0,0.491,0,0,0,0,
4.42,2.43,0,0,0,0,0.491,0,0,0,0,
4.43,2.38,0,0,0,0,0.532,0,0,0,0,
